##,2004,2008,2013,2018,state,constituency,malay_voter_ratio,non_malay_voter_ratio,malay_voters,muslim_bumiputera_voters,chinese_voters,indian_voters,others_voters,non-muslim_bumiputera_voters
P108,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Selangor,Shah Alam,69,29,69,0,15,14,0,0
P109,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Selangor,Kapar,51,48,51,0,34,14,0,0
P110,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Selangor,Klang,32,66,32,0,46,20,0,0
P111,BN-MIC,PR-PAS,PR-PAS,PH-PAN,Selangor,Kota Raja,44,54,44,0,25,29,0,0
P112,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Selangor,Kuala Langat,52,43,52,0,26,17,0,0
P113,BN-UMNO,BN-UMNO,PR-PAS,PH-PAN,Selangor,Sepang,57,38,57,0,22,16,0,0
P114,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Kepong,4,95,4,0,89,6,0,0
P115,BN-Gerakan,PR-PKR,PR-PKR,IND,W.P. Kuala Lumpur,Batu,44,54,44,0,38,16,0,0
P116,BN-MCA,PR-PKR,PR-PKR,PH-PKR,W.P. Kuala Lumpur,Wangsa Maju,53,45,53,0,36,9,0,0
P117,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Segambut,33,65,33,0,53,12,0,0
P118,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,W.P. Kuala Lumpur,Setiawangsa,56,41,56,0,30,11,0,0
P119,BN-UMNO,PR-PAS,BN-UMNO,PH-PPBM,W.P. Kuala Lumpur,Titiwangsa,68,30,68,0,20,10,0,0
P120,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Bukit Bintang,14,84,14,0,73,11,0,0
P121,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,W.P. Kuala Lumpur,Lembah Pantai,55,43,55,0,23,20,0,0
P122,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Seputeh,5,94,5,0,88,6,0,0
P123,DAP,PR-DAP,PR-DAP,PH-DAP,W.P. Kuala Lumpur,Cheras,10,89,10,0,82,7,0,0
P124,BN-MCA,PR-PKR,PR-PKR,PH-PKR,W.P. Kuala Lumpur,Bandar Tun Razak,53,46,53,0,37,9,0,0
P125,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,W.P. Putrajaya,Putrajaya,94,5,94,0,0,3,2,0
P126,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Negeri Sembilan,Jelebu,63,32,63,0,26,6,0,0
P127,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Negeri Sembilan,Jempol,60,38,60,0,25,13,0,0
P128,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Negeri Sembilan,Seremban,44,55,44,0,41,14,0,0
P129,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Negeri Sembilan,Kuala Pilah,76,22,76,0,17,5,0,0
P130,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Negeri Sembilan,Rasah,28,70,28,0,48,22,0,0
P131,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Negeri Sembilan,Rembau,70,28,70,0,12,16,0,0
P132,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Negeri Sembilan,Port Dickson (previously known as Telok Kemang)[3],42,55,42,0,34,21,0,0
P133,BN-UMNO,BN-UMNO,BN-UMNO,PH-PAN,Negeri Sembilan,Tampin,61,37,61,0,24,13,0,0
P134,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Melaka,Masjid Tanah,82,17,82,0,13,4,0,0
P135,BN-MCA,BN-MCA,BN-MCA,PH-PPBM,Melaka,Alor Gajah,59,41,59,0,28,13,0,0
P136,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Melaka,Tangga Batu,68,29,68,0,25,0,4,0
P137,BN-UMNO,BN-UMNO,PR-PKR,PH-PKR,Melaka,Hang Tuah Jaya (previously known as Bukit Katil)[3],53,47,53,0,41,6,0,0
P138,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Melaka,Kota Melaka,36,63,36,0,59,4,0,0
P139,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Melaka,Jasin,71,28,71,0,18,10,0,0
P140,BN-MIC,BN-MIC,BN-MIC,PH-PKR,Johor,Segamat,44,56,44,0,46,10,0,0
P141,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Sekijang,56,44,56,0,39,5,0,0
P142,BN-MCA,BN-MCA,BN-MCA,PH-DAP,Johor,Labis,36,62,36,0,47,15,0,0
P143,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Johor,Pagoh,64,35,64,0,31,4,0,0
P144,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Ledang,53,46,53,0,41,5,0,0
P145,BN-MCA,PR-DAP,PR-DAP,PH-DAP,Johor,Bakri,44,55,44,0,53,2,0,0
P146,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Johor,Muar,62,36,62,0,35,1,0,0
P147,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Parit Sulong,72,28,72,0,23,0,5,0
P148,BN-MCA,BN-MCA,BN-MCA,BN-MCA,Johor,Ayer Hitam,56,42,56,0,38,4,0,0
P149,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Johor,Sri Gading,63,36,63,0,34,0,2,0
P150,BN-UMNO,BN-UMNO,PR-PKR,PH-PKR,Johor,Batu Pahat,52,48,52,0,46,0,2,0
P151,BN-Gerakan,BN-Gerakan,BN-Gerakan,PH-PPBM,Johor,Simpang Renggam,57,42,57,0,33,9,0,0
P152,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Johor,Kluang,39,59,39,0,49,10,0,0
P153,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Sembrong,58,40,58,0,31,9,0,0
P154,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Mersing,79,21,79,0,16,0,5,0
P155,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Tenggara,72,25,72,0,18,7,0,0
P156,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Kota Tinggi,86,13,86,0,11,2,0,0
P157,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Pengerang,88,12,88,0,10,0,2,0
P158,BN-MCA,BN-MCA,BN-MCA,PH-PKR,Johor,Tebrau,47,51,47,0,38,13,0,0
P159,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Pasir Gudang,47,49,47,0,38,11,0,0
P160,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Johor,Johor Bahru,51,48,51,0,43,5,0,0
P161,BN-UMNO,BN-UMNO,BN-UMNO,PH-PAN,Johor,Pulai,47,51,47,0,41,10,0,0
P162,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Johor,Iskandar Puteri (previously known as Gelang Patah)[3],34,64,34,0,52,12,0,0
P163,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Johor,Kulai,33,66,33,0,56,10,0,0
P164,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Johor,Pontian,69,31,69,0,28,0,3,0
P165,BN-MCA,BN-MCA,BN-MCA,PH-PPBM,Johor,Tanjung Piai (previously known as Tanjong Piai)[3],51,49,51,0,47,0,2,0
P166,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,W.P. Labuan,Labuan,60,37,0,60,23,0,0,14
